2025-10-02 13:25:42,027 INFO    MainThread:230863 [wandb_setup.py:_flush():81] Current SDK version is 0.22.1
2025-10-02 13:25:42,028 INFO    MainThread:230863 [wandb_setup.py:_flush():81] Configure stats pid to 230863
2025-10-02 13:25:42,028 INFO    MainThread:230863 [wandb_setup.py:_flush():81] Loading settings from /teamspace/studios/this_studio/.config/wandb/settings
2025-10-02 13:25:42,028 INFO    MainThread:230863 [wandb_setup.py:_flush():81] Loading settings from /teamspace/studios/this_studio/responsible_ai_assignment/wandb/settings
2025-10-02 13:25:42,028 INFO    MainThread:230863 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-02 13:25:42,028 INFO    MainThread:230863 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /teamspace/studios/this_studio/responsible_ai_assignment/wandb/run-20251002_132542-gxxldpre/logs/debug.log
2025-10-02 13:25:42,028 INFO    MainThread:230863 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /teamspace/studios/this_studio/responsible_ai_assignment/wandb/run-20251002_132542-gxxldpre/logs/debug-internal.log
2025-10-02 13:25:42,028 INFO    MainThread:230863 [wandb_init.py:init():832] calling init triggers
2025-10-02 13:25:42,028 INFO    MainThread:230863 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'model_name': 'meta-llama/Meta-Llama-3-8B', 'dataset_name': 'Anthropic/hh-rlhf', 'output_dir': './src/models/llama3-8b-hh-rlhf-qlora', 'num_train_epochs': 1, 'per_device_train_batch_size': 8, 'gradient_accumulation_steps': 2, 'learning_rate': '2e-4', 'use_4bit': True, 'bnb_4bit_quant_type': 'nf4', 'bnb_4bit_compute_dtype': 'bfloat16', 'lora_alpha': 32, 'lora_dropout': 0.05, 'lora_r': 64, 'wandb_project': 'Responsible-AI-Alignment-A100', '_wandb': {}}
2025-10-02 13:25:42,028 INFO    MainThread:230863 [wandb_init.py:init():880] starting backend
2025-10-02 13:25:42,235 INFO    MainThread:230863 [wandb_init.py:init():883] sending inform_init request
2025-10-02 13:25:42,240 INFO    MainThread:230863 [wandb_init.py:init():891] backend started and connected
2025-10-02 13:25:42,241 INFO    MainThread:230863 [wandb_init.py:init():961] updated telemetry
2025-10-02 13:25:42,243 INFO    MainThread:230863 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-02 13:25:42,600 INFO    MainThread:230863 [wandb_init.py:init():1036] starting run threads in backend
2025-10-02 13:25:42,941 INFO    MainThread:230863 [wandb_run.py:_console_start():2506] atexit reg
2025-10-02 13:25:42,941 INFO    MainThread:230863 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-10-02 13:25:42,941 INFO    MainThread:230863 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-10-02 13:25:42,941 INFO    MainThread:230863 [wandb_run.py:_redirect():2446] Redirects installed.
2025-10-02 13:25:42,944 INFO    MainThread:230863 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-02 13:31:43,671 INFO    wandb-AsyncioManager-main:230863 [service_client.py:_forward_responses():80] Reached EOF.
2025-10-02 13:31:43,672 INFO    wandb-AsyncioManager-main:230863 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
